2026-07-31 15:16:08.890 live_captions.py[139] _read_caption_window -> Find Control Timeout(0.5s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer'}
2026-07-31 15:16:11.442 live_captions.py[139] _read_caption_window -> Find Control Timeout(0.5s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer'}
2026-07-31 15:16:13.991 live_captions.py[139] _read_caption_window -> Find Control Timeout(0.5s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer'}
2026-07-31 15:16:16.542 live_captions.py[139] _read_caption_window -> Find Control Timeout(0.5s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer'}
2026-07-31 15:16:19.091 live_captions.py[139] _read_caption_window -> Find Control Timeout(0.5s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer'}
2026-07-31 15:16:21.650 live_captions.py[139] _read_caption_window -> 2026-07-31 22:08:13.164 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-07-31 22:08:15.275 live_captions.py[123] _read_caption_window -> 2026-08-01 19:14:28.448 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-01 19:14:30.554 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-01 19:14:32.653 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-01 19:14:34.770 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-01 19:14:36.874 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-01 19:14:38.995 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-01 19:14:41.130 live_captions.py[123] _read_caption_window -> 2026-08-02 18:13:28.300 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-02 18:13:30.421 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-02 18:13:32.542 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
